date,total,fat_p,fat,lean
9/2/2014 20:11:00,192.7,20.6,39.7,153
9/2/2014 20:54:00,193.4,20.3,39.3,154.1
9/2/2014 23:00:00,193.1,20.4,39.4,153.7
9/3/2014 9:23:00,190.5,20.5,39.1,151.4
9/3/2014 22:58:00,191.9,19.9,38.2,153.7
9/4/2014 8:25:00,191.3,20,38.3,153
9/4/2014 9:53:00,191.4,20.2,38.7,152.7
9/4/2014 13:54:00,190.4,20.4,38.8,151.6
9/5/2014 8:45:00,192.7,20.6,39.7,153
9/5/2014 15:27:00,194.7,20.6,40.1,154.6
9/8/2014 11:52:00,193.6,20.2,39.1,154.5
9/10/2014 23:51:00,195.7,19.8,38.7,157
9/11/2014 19:48:00,195.3,19.8,38.7,156.6
9/12/2014 11:46:00,193.9,19.8,38.4,155.5
9/15/2014 10:17:00,195.6,19.9,38.9,156.7
9/16/2014 10:04:00,193.7,19.7,38.2,155.5
9/19/2014 10:46:00,192.9,19.7,38,154.9
9/21/2014 10:11:00,193.1,19.8,38.2,154.9
9/21/2014 22:06:00,195.6,19.8,38.7,156.9
9/24/2014 9:47:00,191.8,19.7,37.8,154
9/24/2014 23:17:00,196.6,17.1,33.6,163
10/2/2014 23:06:00,193.8,16.2,31.4,162.4
10/3/2014 13:02:00,192.5,18.2,35,157.5
10/3/2014 22:26:00,194.3,17.4,33.8,160.5
10/4/2014 15:48:00,194.3,17.1,33.2,161.1
10/5/2014 10:27:00,191.8,17.8,34.1,157.7
10/6/2014 13:21:00,194.7,17.9,34.9,159.8
10/6/2014 22:02:00,196.7,15.1,29.7,167
10/7/2014 8:32:00,193.1,16.7,32.2,160.9
10/9/2014 9:06:00,191.3,18.7,35.8,155.5
10/9/2014 23:14:00,193.3,19.3,37.3,156
10/14/2014 12:57:00,191,19.5,37.2,153.8
10/16/2014 8:42:00,190.3,19.9,37.9,152.4
10/17/2014 17:58:00,190,19,36.1,153.9
10/19/2014 8:10:00,191.4,19.2,36.7,154.7
10/19/2014 19:16:00,191.1,18.6,35.5,155.6
10/20/2014 1:14:00,194.5,17.8,34.6,159.9
10/22/2014 8:59:00,191.6,17.7,33.9,157.7
10/22/2014 20:57:00,193,16.5,31.8,161.2
10/23/2014 14:40:00,194.4,16.2,31.5,162.9
10/24/2014 10:55:00,193,16.6,32,161
